id,text_id,bunsetsu,text,value
207,215,平成２６年１１月７日，,平成２６年１１月７日,20141107
208,217,平成２７年１月６日，,平成２７年１月６日,20150106
209,219,平成２７年１月，,平成２７年１月,20150100
210,219,同月１５日，,同月１５日,115
211,220,同月から,同月,100
212,222,平成２７年７月２２日，,平成２７年７月２２日,20150722
213,224,平成２７年９月３０日，,平成２７年９月３０日,20150930
214,224,同年１０月１日から，,同年１０月１日,20151001
215,226,平成２７年２月１８日，,平成２７年２月１８日,20150218
216,229,平成２７年７月１７日，,平成２７年７月１７日,20150717
217,232,平成２７年１月頃，,平成２７年１月,20150100
218,234,同年１月ないし,同年１月,20150100
219,236,平成２７年４月頃，,平成２７年４月,20150400
220,239,平成２７年５月２８日，,平成２７年５月２８日,20150528
221,250,平成２７年５月２９日頃，,平成２７年５月２９日,20150529
222,254,平成２７年８月１２日，,平成２７年８月１２日,20150812
223,254,同月２８日までに,同月２８日,828
224,259,平成１４年５月１５日の,平成１４年５月１５日,20020515
225,259,平成２４年以降，,平成２４年,20120000
226,262,平成２７年の,平成２７年,20150000
227,271,①平成２４年１２月から,平成２４年１２月,20121200
228,271,平成２７年１月頃まで，,平成２７年１月,20150100
229,271,②平成２７年１月頃，,平成２７年１月,20150100
230,271,同年４月頃，,同年４月,20150400
231,80,昭和５２年９月１６日に,昭和５２年９月１６日,19770916
232,84,昭和５２年１０月２５日，,昭和５２年１０月２５日,19771025
233,85,昭和５２年以前から,昭和５２年,19770000
234,86,平成２３年３月３１日であるから，,平成２３年３月３１日,20110331
235,89,昭和５４年ころの,昭和５４年,19790000
236,89,昭和５２年以前から,昭和５２年,19770000
237,89,昭和５２年以前から,昭和５２年,19770000
238,92,昭和３５年頃から,昭和３５年,19600000
239,97,平成４年４月１日から,平成４年４月１日,19920401
240,97,昭和５０年代前半頃から,昭和５０年,19750000
241,100,昭和５０年代前半頃から,昭和５０年,19750000
242,100,平成３年改正法施行の,平成３年,19910000
243,110,昭和３５年には,昭和３５年,19600000
244,110,昭和４０年に,昭和４０年,19650000
245,113,昭和３５年頃には,昭和３５年,19600000
246,125,平成２３年以降に,平成２３年,20110000
247,128,昭和３５年頃には,昭和３５年,19600000
248,133,昭和３５年頃には,昭和３５年,19600000
249,135,昭和２６年８月１日，,昭和２６年８月１日,19510801
250,135,昭和６２年に,昭和６２年,19870000
251,135,昭和２９年には,昭和２９年,19540000
252,135,昭和３５年頃から,昭和３５年,19600000
253,135,昭和４０年に,昭和４０年,19650000
254,135,平成２８年度の,平成２８年,20160000
255,137,昭和４０年頃には,昭和４０年,19650000
256,155,昭和５２年以前から,昭和５２年,19770000
257,157,昭和３０年５月１０日に,昭和３０年５月１０日,19550510
258,157,昭和５２年９月２７日付け一般乗用旅客自動車運送事業の,昭和５２年９月２７日,19770927
259,157,昭和５２年９月１６日に,昭和５２年９月１６日,19770916
260,157,昭和５４年７月４日に,昭和５４年７月４日,19790704
261,159,昭和５２年頃に,昭和５２年,19770000
262,159,昭和４０年頃以前から,昭和４０年,19650000
263,164,東京地方裁判所民事第２９部裁判長裁判官山田真紀裁判官伊藤清隆裁判官棚橋知子当事者目録原告日本航空株式会社同訴訟代理人弁護士太田大三同鷲野泰宏同荒井康弘同岩寺桂子同名取恭子被告南急観光株式会社同訴訟代理人弁護士中村光央同大瀧友輔同永野海同茨木祥人同見原範彦被告標章目録原告商標権目録登録番号：商標登録第５４６１７６２号出願日：平成２３年３月３１日登録日：平成２４年１月６日登録商標：商品及び,平成２３年３月３１日,20110331
264,3,平成３１年３月２６日から,平成３１年３月２６日,20190326
265,7,平成３１年３月２６日から,平成３１年３月２６日,20190326
266,12,平成３１年３月２６日から,平成３１年３月２６日,20190326
267,22,特許番号第６１８８９８４号登録日平成２９年８月１０日,平成２９年８月１０日,20170810
268,22,出願日平成２９年３月１０日原出願日,平成２９年３月１０日,20170310
269,22,平成２８年１０月２７日,平成２８年１０月２７日,20161027
270,22,優先日平成２７年１０月３０日発明の,平成２７年１０月３０日,20151030
271,32,平成２９年８月１０日から,平成２９年８月１０日,20170810
272,32,平成３１年３月２６日までの,平成３１年３月２６日,20190326
273,102,平成２９年４月１日改訂版公開の,平成２９年４月１日,20170401
274,108,平成２９年公開の,平成２９年,20170000
275,108,平成２４年４月１日公開の,平成２４年４月１日,20120401
276,118,平成２４年に,平成２４年,20120000
277,119,平成２４年公開の,平成２４年,20120000
278,125,平成２７年７月頃には，,平成２７年７月,20150700
279,126,同年９月頃には，,同年９月,20150900
280,126,同月下旬頃には，,同月,900
281,135,平成２７年７月から,平成２７年７月,20150700
282,136,平成２７年７，８月頃の,平成２７年,20150000
283,139,平成２７年９月下旬頃には，,平成２７年９月,20150900
284,141,同月頃には，,同月,900
285,149,平成２９年８月１０日から,平成２９年８月１０日,20170810
286,149,平成３１年３月２６日までに，,平成３１年３月２６日,20190326
287,233,平成２７年９月頃には，,平成２７年９月,20150900
288,250,平成２９年８月１０日から,平成２９年８月１０日,20170810
289,250,平成３１年３月２６日までに，,平成３１年３月２６日,20190326
290,8,令和元年１０月２２日から,令和元年１０月２２日,20191022
291,9,令和元年１０月２２日から,令和元年１０月２２日,20191022
292,9,平成２９年法律第４４号による,平成２９年,20170000
293,15,平成７年頃，,平成７年,19950000
294,15,平成８年９月２０日には,平成８年９月２０日,19960920
295,15,平成１２年１２月１日に,平成１２年１２月１日,20001201
296,22,平成２８年４月２６日，,平成２８年４月２６日,20160426
297,22,平成２９年１１月２日，,平成２９年１１月２日,20171102
298,22,令和２年２月２０日に,令和２年２月２０日,20200220
299,30,令和３年１月７日付けで,令和３年１月７日,20210107
300,32,平成２８年６月,平成２８年６月,20160600
301,32,３日原出願日平成２９年６月２日,平成２９年６月２日,20170602
302,32,出願日平成３１年４月２６日公開日令和元年７月１８日登録日令和元年８月９日,平成３１年４月２６日,20190426
303,62,平成３０年１２月以降，業として，,平成３０年１２月,20181200
304,102,平成２８年６月３日の,平成２８年６月３日,20160603
305,486,平成１０年に,平成１０年,19980000
306,486,平成１５年頃に,平成１５年,20030000
307,573,平成２８年６月３日の,平成２８年６月３日,20160603
308,573,同年５月１７日には，,同年５月１７日,20160517
309,577,平成２５年８月頃から，,平成２５年８月,20130800
310,577,平成２８年９月に,平成２８年９月,20160900
311,577,平成２７年中頃には，,平成２７年,20150000
312,580,同年１２月には，,同年１２月,20151200
313,580,平成２９年４月の,平成２９年４月,20170400
314,583,平成２８年２月の,平成２８年２月,20160200
315,590,同年５月１７日には，,同年５月１７日,20160517
316,593,平成２８年５月１７日における,平成２８年５月１７日,20160517
317,599,平成２８年５月１７日付けの,平成２８年５月１７日,20160517
318,603,平成２８年６月３日の,平成２８年６月３日,20160603
319,603,平成２９年９月と,平成２９年９月,20170900
320,603,平成３１年１月である。,平成３１年１月,20190100
